++ Type 
Main Story

++ Date 
2/7/2014

DamianStark:  ##800000| 	Finally. Thanks, Fred. Yer link worked. ## 
Guylian:  ##208020| 	(*rubs hands gleefully*) ## 
Kai_Tukov:  ##110481| 	IC: Taking up to a run, Kai strains against the darkness, using a blood talent instructed to him some years ago, trying to get the license plate of the one with Vincent inside. ## 
DamianStark:  ##800000| 	Damian chews his lip in thought, his brow furrowed. ## 
YaraST:  ##666666| 	~what had been a lovely evening at a fun little frothy show, has turned into bit of a clusterfuck. Vincent's taxi pulls out towards the main boulevard; hooray for efficient traffic planners... He is able to get the plate, but there's plenty of people around; he'd best be very careful...~ ## 
Guylian:  ##208020| 	Should go back and chew out Brent and Chaz ... *Guylian's perpetual soft purring voice is colored with the suppressed growl of annoyance.* ## 
Kai_Tukov:  ##110481| 	((Sorry, was switching locations and got a message from my sister about my dad.)) ## 
Guylian:  ##208020| 	(Everything alright?) ## 
Kai_Tukov:  ##110481| 	((Other than the massive bashing I gave my arm, all good)) ## 
Kai_Tukov:  ##110481| 	((They took one of the medical monitors off him and say they're sending him home soon)) ## 
DamianStark:  ##800000| 	D glances once at Guylian. "Nah. That might end up being a literal chewing, and they were just coverin' for their bro. The ones who need to get shredded like my mom's curtains're... well. You know." ## 
DamianStark:  ##800000| 	((WOO!)) ## 
Kai_Tukov:  ##110481| 	Keeping his eyes on the direction he is heading, he glances back to the door, hoping that Damian is on his way. There's about one way they can keep this from going completely in the shitter. ## 
DamianStark:  ##800000| 	D shakes his head. "Not likely. Unless they're meeting him later... In which case, all we gotta do is follow 'em." ## 
Guylian:  ##208020| 	An that leotard better be smelly enough for your nose ... ## 
DamianStark:  ##800000| 	D effects a sneeze. "First thing ol'Vince should do, is find a goddamn shower." ## 
Kai_Tukov:  ##110481| 	A flurry of curse words. ## 
DamianStark:  ##800000| 	Damian stands outside in the improbably thick grass with Guylian nearly wringing his hand off, staring off in the direction the taxi went. ## 
YaraST:  ##666666| 	~so, outside, a trio of frustrated and/or forlorn kindred... A departed taxi, and a party to get to later that evening~ ## 
Guylian:  ##208020| 	(A sad sad sight) ## 
DamianStark:  ##800000| 	Damian growls low in his chest. "Fuckin' Remington," he mutters. ## 
Kai_Tukov:  ##110481| 	He pulls his phone out and crams a text into it to Damian. "Plate is 055 CDL" ## 
Kai_Tukov:  ##110481| 	((sorry, was getting some details from the logs00 ## 
DamianStark:  ##800000| 	D reaches for his phone a moment later, mashing his fingers on the touch screen, sliding out menus from the cheerily glowing device. He scans it, nods once, and growls, "Bingo." He toggles the screen dark again and slides it back itno its case riding his belt. ## 
Kai_Tukov:  ##110481| 	Cutting his losses, takes up to a trot, heading for the rented BMW 325i. If you want something done.... ## 
DamianStark:  ##800000| 	"All smells like shit to me. We do this job in a vacuum, this is what we get. We're not here to show this guy a good time. We're here to separate him from the herd-- spook him right into the Torries' waiting arms." ## 
DamianStark:  ##800000| 	"Let's go." He grins. "There a phone booth nearby?" ## 
YaraST:  ##666666| 	~Damian may recall a few phones in the lobby; no so much demand for them, these days~ ## 
DamianStark:  ##800000| 	"I need to change... clothes." He notes the Beemer starting up and moving toward the exit. ## 
DamianStark:  ##800000| 	A parking garage should work, but too many of those have cameras... I should really find places downtown that are safe for shapeshifting. ## 
Kai_Tukov:  ##110481| 	Kai brings it around towards the front of the theater, hoping that his two clanmates are somewhat near by. ## 
DamianStark:  ##800000| 	Damian scans the area, looking for a likely alleyway or... Or Kai being thoughtful enough to bring the car. Nice. "Guylian." He jerks his head in the direction of the car. "Get yer fine ass movin'." He regards the heels for a short moment. "Need me t'carry ya, cupcake?": ## 
Kai_Tukov:  ##110481| 	Kai eases the German luxury car into the round up, and leans across the seat to push the front door open. ## 
Guylian:  ##208020| 	You slay' me ... *Yep, definitely a snort, torn between amusement and incredulity. 1920s heels are much more sensible than their 21st century counterparts, and the diminutive Gangrel is as quick on foot as usual.* ## 
DamianStark:  ##800000| 	Damian gets the door for Guylian, as his long legs carry him to the car first. He then goes for the back seat. ## 
Kai_Tukov:  ##110481| 	Kai kicks it into gear, sing-songing to the other two. "Welcome to the disaster. I'm going to try to get us somewhat on track." ## 
DamianStark:  ##800000| 	His grin does not abate the entire time... and that serves a couple of purposes. No one who is smiling can possibly be planning anything nefarious, and playful people in a hurry are only in a hurry to get to somewhere else fun." ## 
DamianStark:  ##800000| 	((Nix the ")) ## 
DamianStark:  ##800000| 	"Not our disaster." ## 
Kai_Tukov:  ##110481| 	"It is to me. Fucking hell, I jacked this one up badly." ## 
DamianStark:  ##800000| 	D settles back into the seat, chewing his lip again. "Not our fault. Any of us. Look to our fuckin' emplyers for where this clusterfuck started." ## 
Guylian:  ##208020| 	*She slips onto the passenger seat and closes the door in one swift, fluid motion, buckling in. She catches her lower lip between her lips as if biting back words.* ## 
DamianStark:  ##800000| 	"Think about it, Kai. No logistics to speak of. No pre-show meeting with the client. They ~wanted~ this guy to skate out." ## 
DamianStark:  ##800000| 	"Chances are, even if this was legit, not one of these Roses have ever done this shit before. Not a professional among them." He snorts. "Even Holt was more professional." ## 
Kai_Tukov:  ##110481| 	Leading the BWM out onto the main road out from the parking lot ## 
YaraST:  ##666666| 	~the cab was heading towards South Las Vegas Boulevard, which isn't the quickest way to the highway~ ## 
Kai_Tukov:  ##110481| 	"He could be anywhere now." ## 
DamianStark:  ##800000| 	"Truth. Likely, he's gonna buy some clothes and get a room so he can shower and change." ## 
YaraST:  ##666666| 	~the dispatcher sounds like he's chewing gum or his lunch from the horrible smacking noises over the line~ Yeah... Uh-huh. Got the cab number? ## 
DamianStark:  ##800000| 	D sinks lower into the seat, smirking to himself. ## 
Kai_Tukov:  ##110481| 	Kai heads for the highway, letting 'Nora' talk. ## 
YaraST:  ##666666| 	~he heaves a sigh, as if looking up a plate is the most tedious, tiresome act he's been asked to perform in at least the last five minutes~ Fiiine. Let me run it. ## 
DamianStark:  ##800000| 	He sends blood to his tissues, diffusing it outward towardd his skin, then drawing it back, pulling flesh with it, changing it, his form shrinking into the floorboards, resolving into that of a northern Goshawk. ## 
DamianStark:  ##800000| 	Fiance? Heh. As if poor Kai don't feel awkward enough... ## 
YaraST:  ##666666| 	~the smacking continues over the line, with the occasional crunch. Must be lunch, then. There's chatter in the background; busy place late at night in Vegas~ ## 
DamianStark:  ##800000| 	((Goddammit. The Iron Man 3 bus is leaving now. THey ask me: Hey, Chad. You wanna go see IM3 later? I say, yeah. They buy tickets and say Okay. We're going NOW.)) ## 
DamianStark:  ##800000| 	((Bastards.)) ## 
Kai_Tukov:  ##110481| 	Awkward ain't quite the word for it, if he was still mortal he would be blushing. ## 
DamianStark:  ##800000| 	((Later, sure. TEN MINUTES later???)) ## 
Guylian:  ##208020| 	(Muh?) ## 
DamianStark:  ##800000| 	\((I know.)) ## 
Kai_Tukov:  ##110481| 	((Sounds like my friends)) ## 
DamianStark:  ##800000| 	((This is why I do things by myself.)) ## 
DamianStark:  ##800000| 	They. Are. Staring at me. ## 
____________________________________________ ## 
DamianStark:  ##800000| 	*Flop* ## 
YaraST:  ##666666| 	Allo! ~offers beer~ ## 
Kai_Tukov:  ##110481| 	~carries fireman style~ You gonna be okay? ## 
DamianStark:  ##800000| 	*TAKES beer.* ## 
YaraST:  ##666666| 	~patpatpat... trails along~ ## 
DamianStark:  ##800000| 	Yeah. I'll be fine. Rough week. Been really looking forward to this. ## 
DamianStark:  ##800000| 	Oh. Guess where I am? ## 
DamianStark:  ##800000| 	Hin: Had a little trouble getting in. ## 
DamianStark:  ##800000| 	Hint: ## 
Kai_Tukov:  ##110481| 	Berkans? ## 
DamianStark:  ##800000| 	Nope. I am. At. Home. ## 
DamianStark:  ##800000| 	I haz netz! ## 
YaraST:  ##666666| 	NETS! ## 
YaraST:  ##666666| 	~does the dansss of nets~ ## 
DamianStark:  ##800000| 	There comes a time in every man's life when he has to say (in a stupid accent) "Screw eet, yoo can doo eet!" ## 
YaraST:  ##666666| 	 ## 
Kai_Tukov:  ##110481| 	That is awesome. ## 
DamianStark:  ##800000| 	Heh. Fred and I would know that as "Cat Stance". I can tell his Kung Fu is strong; his style unstoppable. ## 
DamianStark:  ##800000| 	And, he moustache you a question. ## 
YaraST:  ##666666| 	He should keep his guard up. ## 
DamianStark:  ##800000| 	It could be air guitar, too. ## 
YaraST:  ##666666| 	Possibly! I have fondness for lolcats that I'm sheepish to admit. Heh. ## 
Kai_Tukov:  ##110481| 	~stage whisper~ C is getting me drunk to try to take advantage of me. ## 
DamianStark:  ##800000| 	What a coincidence. I'm getting myself drunk. Probably to take advantage of myself later. ## 
YaraST:  ##666666| 	Hey, you're hardly arguing. ~boofboof~ Besides, I had a whole bottle to myself last week. Just ask C how that turned out. ## 
DamianStark:  ##800000| 	Heh. ## 
YaraST:  ##666666| 	I would have built up the whole "Hey, what's happening around this bonfire with the people with the devil masks?" if we'd had more time. Mwahah. ## 
Guylian:  ##208020| 	*SPLAT!* ## 
DamianStark:  ##800000| 	D might have mistaken them for a much more populous incarnation of Kai's old pack. ## 
YaraST:  ##666666| 	Heeeey! Yat! ## 
DamianStark:  ##800000| 	*picks up Micha and dusts her off* ## 
YaraST:  ##666666| 	... Yay. I mean "yay". ## 
DamianStark:  ##800000| 	Yat? ## 
DamianStark:  ##800000| 	Really? ## 
DamianStark:  ##800000| 	Conjugate yer b'gack, sweetheart. ## 
Guylian:  ##208020| 	Longest talent show ever ... ## 
YaraST:  ##666666| 	... I blame my keyboard.... ## 
Guylian:  ##208020| 	Sticky but sweet ...ha! ## 
Kai_Tukov:  ##110481| 	Okies, everyone is here so..... ## 
DamianStark:  ##800000| 	Woooow.... ## 
Guylian:  ##208020| 	so he quits? ## 
DamianStark:  ##800000| 	*LOL* ## 
Guylian:  ##208020| 	That makes no sense whatsoever ## 
YaraST:  ##666666| 	Oh, he's going downstairs. ## 
YaraST:  ##666666| 	It is too distracting up here, sez he. ## 
YaraST:  ##666666| 	... It may or may not have to do with the things I throw at him. Like cats. ## 
Guylian:  ##208020| 	*blinks* ## 
DamianStark:  ##800000| 	I wonder why that could be.... ## 
YaraST:  ##666666| 	So, he'll have minilappy in just a few, and be right back. ## 
DamianStark:  ##800000| 	*wisely keeps his off-color observations to himself* ## 
Guylian:  ##208020| 	Grown wise with the years, eh? *elbows Chadster* ## 
YaraST:  ##666666| 	... That's it, rocks fall, everyone dies! ## 
DamianStark:  ##800000| 	I will also be right back. Needed to make sure I could get on with my desktop. Gotta grab food at the store across the street. ## 
DamianStark:  ##800000| 	Heh. ## 
DamianStark:  ##800000| 	To both. ## 
YaraST:  ##666666| 	Cool! Acquire nourishment, and we'll ready to go when you're back. ## 
Guylian:  ##208020| 	Talk about clearing a room .... sheesh ## 
Guylian:  ##208020| 	*adds new skill to list* ## 
YaraST:  ##666666| 	So, talent show, huh? ## 
Guylian:  ##208020| 	Rapt audience no matter how 'bad' an act was ## 
YaraST:  ##666666| 	Awww, that gets to be some of the cute, though. ## 
Guylian:  ##208020| 	and very very funny there was one outstanding 5th grade girl. She sang and, holy moly, in a few years, if she keeps that up. Just fantastic. ## 
YaraST:  ##666666| 	So, what was the act you were there to see? ## 
YaraST:  ##666666| 	... Oh dear... Did they get laughs in the right places? ## 
DamianStark:  ##800000| 	Kewl. ## 
Kai_Tukov:  ##110481| 	Sorry about that, PC was acting up. ## 
Guylian:  ##208020| 	Oh yeah, they did *chortles* ## 
DamianStark:  ##800000| 	It's fine. ## 
YaraST:  ##666666| 	Hey, great timing! ## 
Guylian:  ##208020| 	Welcome back I think it's time C and I go and powder our noses *nods* ## 
Kai_Tukov:  ##110481| 	Oh... Okay? ## 
DamianStark:  ##800000| 	Heh. ## 
DamianStark:  ##800000| 	Y'got yer friend, cupcake; don't forget yer purse. ## 
YaraST:  ##666666| 	~snerk~ We all comfy and settled? ## 
Kai_Tukov:  ##110481| 	~slumps~ ## 
DamianStark:  ##800000| 	*Sets up to devour at least half a cow.* ## 
DamianStark:  ##800000| 	Yep. I'm good. ## 
Guylian:  ##208020| 	She's gonna use that purse to powder somebody's nose ...*thumbs at C* ## 
DamianStark:  ##800000| 	Purse, with brick... ## 
DamianStark:  ##800000| 	And five dots of potence. ## 
Guylian:  ##208020| 	That'd definitely powder a nose ## 
Guylian:  ##208020| 	Okay, last one before IC http://www.flickr.com/photos/peterscottnz/2531444191/ ## 
DamianStark:  ##800000| 	And the mandibular processes, associated fossae and probably finish with the occipital plate. ## 
YaraST:  ##666666| 	Awwwww, fuzzy lollipop. ## 
Guylian:  ##208020| 	It gets funnier the longer you look at it ## 
DamianStark:  ##800000| 	Accompanied by a fine, red and grey mist. ## 
DamianStark:  ##800000| 	It's no wonder alpacas bite and spit. ## 
DamianStark:  ##800000| 	They're pissed. Collectively, at that haircut. ## 
YaraST:  ##666666| 	So, last time, someone was turning into a turkey, someone else was thanking dispatch, and someone else was driving. ## 
DamianStark:  ##800000| 	We're past the turkey thing. ## 
DamianStark:  ##800000| 	eally. ## 
DamianStark:  ##800000| 	Really. ## 
DamianStark:  ##800000| 	*grumble* ## 
DamianStark:  ##800000| 	Someone stole my R. And my sweetroll. ## 
Kai_Tukov:  ##110481| 	.... ## 
Guylian:  ##208020| 	We're missing a game log! ## 
YaraST:  ##666666| 	Fiiine. Someone was shifting, someone else was thanking dispatch, and someone else was driving. ## 
DamianStark:  ##800000| 	Oh right. D had reverted from hawk form, thus turning BACK into the turkey he normally is. ## 
YaraST:  ##666666| 	Ah, yes, was going to combine the bit from last time with tonight's, because it ended in the middle of things. I should get the bit at the buddhabar up, though, you're right. ## 
Guylian:  ##208020| 	Yep, D was going turkey, Kai was driving and G was sweet-talking dispatch into telling her where the cab was headed so they could meet up ## 
Guylian:  ##208020| 	Buddha bar was really short tho' ## 
DamianStark:  ##800000| 	Right. D. Giving everyone in the car the bird. ## 
Kai_Tukov:  ##110481| 	Okay, so.... ## 
Kai_Tukov:  ##110481| 	~damn wine~ ## 
YaraST:  ##666666| 	~phone~ ## 
DamianStark:  ##800000| 	Hey, Michaela... I'll take that hug now... Y'know, now that I'm not at work. ## 
YaraST:  ##666666| 	Sorry, folks' email got hacked. Just got them sorted. ## 
YaraST:  ##666666| 	So, in the car, bird, phone, driving... GO! IC: ## 
DamianStark:  ##800000| 	IC: ## 
Guylian:  ##208020| 	IC ## 
YaraST:  ##666666| 	~dispatch loudly smacks whatever it is in his mouth, sounding bored and cattle-stupid~ ## 
Guylian:  ##208020| 	and very very funny there was one outstanding 5th grade girl. She sang and, holy moly, in a few years, if she keeps that up. Just fantastic. ## 
YaraST:  ##666666| 	So, what was the act you were there to see? ## 
YaraST:  ##666666| 	... Oh dear... Did they get laughs in the right places? ## 
DamianStark:  ##800000| 	Kewl. ## 
Kai_Tukov:  ##110481| 	Sorry about that, PC was acting up. ## 
Guylian:  ##208020| 	Oh yeah, they did *chortles* ## 
DamianStark:  ##800000| 	It's fine. ## 
YaraST:  ##666666| 	Hey, great timing! ## 
Guylian:  ##208020| 	Welcome back I think it's time C and I go and powder our noses *nods* ## 
Kai_Tukov:  ##110481| 	Oh... Okay? ## 
DamianStark:  ##800000| 	Heh. ## 
DamianStark:  ##800000| 	Y'got yer friend, cupcake; don't forget yer purse. ## 
YaraST:  ##666666| 	~snerk~ We all comfy and settled? ## 
Kai_Tukov:  ##110481| 	~slumps~ ## 
DamianStark:  ##800000| 	*Sets up to devour at least half a cow.* ## 
DamianStark:  ##800000| 	Yep. I'm good. ## 
Guylian:  ##208020| 	She's gonna use that purse to powder somebody's nose ...*thumbs at C* ## 
DamianStark:  ##800000| 	Purse, with brick... ## 
DamianStark:  ##800000| 	And five dots of potence. ## 
Guylian:  ##208020| 	That'd definitely powder a nose ## 
Guylian:  ##208020| 	Okay, last one before IC http://www.flickr.com/photos/peterscottnz/2531444191/ ## 
DamianStark:  ##800000| 	And the mandibular processes, associated fossae and probably finish with the occipital plate. ## 
YaraST:  ##666666| 	Awwwww, fuzzy lollipop. ## 
Guylian:  ##208020| 	It gets funnier the longer you look at it ## 
DamianStark:  ##800000| 	Accompanied by a fine, red and grey mist. ## 
DamianStark:  ##800000| 	It's no wonder alpacas bite and spit. ## 
DamianStark:  ##800000| 	They're pissed. Collectively, at that haircut. ## 
YaraST:  ##666666| 	So, last time, someone was turning into a turkey, someone else was thanking dispatch, and someone else was driving. ## 
DamianStark:  ##800000| 	We're past the turkey thing. ## 
DamianStark:  ##800000| 	eally. ## 
DamianStark:  ##800000| 	Really. ## 
DamianStark:  ##800000| 	*grumble* ## 
DamianStark:  ##800000| 	Someone stole my R. And my sweetroll. ## 
Kai_Tukov:  ##110481| 	.... ## 
Guylian:  ##208020| 	We're missing a game log! ## 
YaraST:  ##666666| 	Fiiine. Someone was shifting, someone else was thanking dispatch, and someone else was driving. ## 
DamianStark:  ##800000| 	Oh right. D had reverted from hawk form, thus turning BACK into the turkey he normally is. ## 
YaraST:  ##666666| 	Ah, yes, was going to combine the bit from last time with tonight's, because it ended in the middle of things. I should get the bit at the buddhabar up, though, you're right. ## 
Guylian:  ##208020| 	Yep, D was going turkey, Kai was driving and G was sweet-talking dispatch into telling her where the cab was headed so they could meet up ## 
Guylian:  ##208020| 	Buddha bar was really short tho' ## 
DamianStark:  ##800000| 	Right. D. Giving everyone in the car the bird. ## 
Kai_Tukov:  ##110481| 	Okay, so.... ## 
Kai_Tukov:  ##110481| 	~damn wine~ ## 
YaraST:  ##666666| 	~phone~ ## 
DamianStark:  ##800000| 	Hey, Michaela... I'll take that hug now... Y'know, now that I'm not at work. ## 
YaraST:  ##666666| 	Sorry, folks' email got hacked. Just got them sorted. ## 
YaraST:  ##666666| 	So, in the car, bird, phone, driving... GO! IC: ## 
DamianStark:  ##800000| 	IC: ## 
Guylian:  ##208020| 	IC ## 
YaraST:  ##666666| 	~dispatch loudly smacks whatever it is in his mouth, sounding bored and cattle-stupid~ ## 
Guylian:  ##208020| 	*She waits patiently for an answer, watching Kai drive.* ## 
YaraST:  ##666666| 	'Kay, 605 looks like it's outside of Paris right now. ~he says, around a mouthful of something unsavoury. The streets around them are busy with the streams of theatre-goers returning to their hotels on the strip~ ## 
DamianStark:  ##800000| 	Paris? Wow. They made good time, D jokes internally. He looks toward the open window. Okay. Playing to my strengths may not always be the best idea... Particularly considering I embarass myself in front of these people every time I take this particular form. ## 
Guylian:  ##208020| 	Can we catch up with him there? ## 
YaraST:  ##666666| 	He's waiting for a new fare at the stand. If ya hurry, yer probably gonna be in luck. He's number 8 in the row. ~he says, and hangs up~ ## 
DamianStark:  ##800000| 	Did that dude just say "yer?" That's my thing! Copyright infringement'r somethin'... Jrk. ## 
Kai_Tukov:  ##110481| 	The car slows a bit, Kai completely confused to what Guylian is passing along, not having the conversation that was over the phone in his mind. ## 
DamianStark:  ##800000| 	Damian preens in the floorboards of the backseat absently. ## 
DamianStark:  ##800000| 	I may or may not be too comfortable as a tur-- hawk. He mentally beats his own face in for dredging up the memory of that annoying, invasive, absolutely adorable dog. ## 
DamianStark:  ##800000| 	We had a moment, to be sure. I miss him. ## 
YaraST:  ##666666| 	~it's a beautiful night... Clear, dry, not too warm... It'd be a great night to be out hunting, finding an easy meal, and not stuck in close quarters with two competitors for the local food supply, no matter how friendly they seem~ ## 
Kai_Tukov:  ##110481| 	((evil!)) ## 
Guylian:  ##208020| 	(Heh ...*L*) ## 
Kai_Tukov:  ##110481| 	Dark eyes narrowing, he scans the streets, trying to remember where the taxi stand is in relation to where he is at, now catching the reference, heading for the faux tower. ## 
Kai_Tukov:  ##110481| 	"We're going to need someone to shake down the driver to see where he dropped off the runner." ## 
DamianStark:  ##800000| 	As always, his thoughts turn to poor Emily, with her indomitable spirit and will, and her dutiful, caring sister. His heart rends from the inside out, and the night air calls to him. He considers a moment, just flying out the window and gone, to be alone with his thoughts, to get his fill of blood for a change... to be free of labyrinthine, byzantine Toreador ## 
YaraST:  ##666666| 	~easy enough to find the taxi stand, as it's on Paris Drive, in a roundabout just outside of Paris Las Vegas, with its dorky Eiffel Tower and its dorky montgolfiere~ ## 
DamianStark:  ##800000| 	plots and tedious, draconic politics. ## 
YaraST:  ##666666| 	~just south of Flamingo, it's easy to get to off of South Las Vegas Boulevard... Damian might muse that while he heard news reports about little Emily, nothing much was said about where her cousin ended up, or the dog, for that matter. Poor things~ ## 
DamianStark:  ##800000| 	If they show up here.... Nah. That's too goddamned far-fetched. ## 
DamianStark:  ##800000| 	But, still... If they do... ## 
DamianStark:  ##800000| 	He makes up his mind to go shred a certain Malkavian in the windy city, just to put the whole thing to bed. She started this, after all. ## 
DamianStark:  ##800000| 	Nothing really ridiculous had happened to him until she... Well, D admits to himself, nothing I didn't bring upon myself... Arren springs readily to mind... Like the fucking Great Old One rising out of the goddamn ocean, for the record. ## 
DamianStark:  ##800000| 	And Holt. ## 
DamianStark:  ##800000| 	And my fucking sire (fuck you, Torque!). ## 
DamianStark:  ##800000| 	D almost has a human-sized replay of being stuffed in a dryer hose as he regains his more or less original form. He crabbily scrambles out of the floorboards, righting himself in the seat. ## 
Kai_Tukov:  ##110481| 	((~grumbles~)) ## 
Guylian:  ##208020| 	(Welcome back) ## 
Kai_Tukov:  ##110481| 	((Missed everything one line after my last post. ~sigh~ Anyways)) ## 
YaraST:  ##666666| 	((Log for tonight is posted up to now on Wikia)) ## 
DamianStark:  ##800000| 	((Run upstairs and smooch yer C's neck. You'll have the bonus of putting the ST on pause while being able to catch up[, reading over her shoulder) ## 
Kai_Tukov:  ##110481| 	((Going to have to... ~sighs~)) ## 
Kai_Tukov:  ##110481| 	((Hate the fact that mibbit does this shit. No updates forever, then kicked )) ## 
YaraST:  ##666666| 	((~twitch~)) ## 
DamianStark:  ##800000| 	((Lookit him. It's such a frigging chore for him. Ain't buyin' it, Sparky.)) ## 
DamianStark:  ##800000| 	((Waits for Fred-O to catch up)) ## 
DamianStark:  ##800000| 	((*Lights a candle for Jaime.*)) ## 
YaraST:  ##666666| 	((Ruffled feathers almost settled.)) ## 
DamianStark:  ##800000| 	((Heh.)) ## 
Kai_Tukov:  ##110481| 	Pulling to the curb, he puts the car in park. This has gone right to shit, hasn't it? ## 
DamianStark:  ##800000| 	((Mibbit, it seems, likes to smear itself with some kind of Crisco bullshit before kicking you in the taint.)) ## 
DamianStark:  ##800000| 	Damian snorts. "This is bullshit." ## 
DamianStark:  ##800000| 	Almost echoing Kai's thoughts... or more continuing them. ## 
YaraST:  ##666666| 	~one of the many gaudy casinos looms over them; this one out of some marketing nightmare where someone who has never been to Paris, let alone France, describes what they thing they would find, and then added tonnes of neon~ ## 
DamianStark:  ##800000| 	I am never going to get used to this acid trip version of a tweaker's Paris. What a gaudy piece of shit. ## 
Guylian:  ##208020| 	Nobody is shootin' at us yet .... *Guylian dips forward, pecking Kai's cheek briefly before sliding from her seat and out the car. The petite Gangrel casts a quick glance around trying to orientate herself in the hustle and bustle amidst starry-eyed tourists and then zooms in on the taxi stand.* ## 
Guylian:  ##208020| 	(3....2....1 .... waits for kai to implode) ## 
DamianStark:  ##800000| 	The idea is so absurdly funny to him in his head, Damian speaks it, too. ## 
DamianStark:  ##800000| 	"Not even the French here is authentic." ## 
YaraST:  ##666666| 	~there are scads of cabs from various companies, but Ace cabs does have a stand. 605 is up to number 3 in the queue~ ## 
DamianStark:  ##800000| 	But then, he thinks, I learned what little French I know from a guy named Torque. How authentic can THAT be? ## 
DamianStark:  ##800000| 	D falls silent, allowing Kai his room to think and plan. this is his show, after all. ## 
Kai_Tukov:  ##110481| 	Kai instinctively rolls the shoulder away from Guylian, but a moment too late. Maybe Guylian is in on some elaborate joke of the roses. ## 
Kai_Tukov:  ##110481| 	"Damian, what's your take on this?" Kai asks, as Guylian shuts the door. "The last time I saw her, was before everything blew-the-fuck-up in Minneapolis..." ## 
Guylian:  ##208020| 	*Guylian weaves her way through the crowd, sidestepping and evading bumbling tourists with her own brand of lazy grace before sidling up to cab 605.* ## 
Guylian:  ##208020| 	(Gotta love the bromance between K and D) ## 
DamianStark:  ##800000| 	"What," Damian asks dimly. He strugles to shift gears, Kai's abrupt, uncharacteristically off-job query throwing him. ## 
DamianStark:  ##800000| 	Oh. "Oh, you mean Guylian?" ## 
YaraST:  ##666666| 	Where ya goin'? ~asks the bored cabbie, the car smelling of old menthol and air freshener~ ## 
DamianStark:  ##800000| 	He blinks and tilts his head in a decidedly avian fashion as he ponders the question, and the bajillion directions that Kai could be (and usually is) coming from. ## 
Kai_Tukov:  ##110481| 	"I know you knew her, pretty intimately." He says, as direct as a right cross. "But after I ran into her, my shitty life in the twin cities caught fire and I couldn't deal with the heat. Worst part is, nothing happened that would embarrass anyone but a priest or me..." He spits out, watching her slide away like a quicksilver tear admidst the crowds. ## 
DamianStark:  ##800000| 	D's eyebrows raise and he shakes his head, as if recovering from a nice, direct right cross. "Uh, yeah. Lincoln. Much more boring, conservative town than that." ## 
DamianStark:  ##800000| 	"Yer wonderin' what she's doin' here? Concerned she got sent by someone'r another t'send yer life into a flaming tailspin?" He stares into the rear view at Kai. "That 'bout sum it up?" ## 
Guylian:  ##208020| 	(Priceless .... just priceless *chortles*) ## 
